PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35020113,Ontario,478,2,-0.735,2,-0.429,1,-0.872,3,-0.154
35020114,Ontario,462,2,-0.621,3,-0.284,2,-0.763,5,1.158
35020115,Ontario,496,3,-0.471,1,-0.853,2,-0.752,4,0.371
35020116,Ontario,912,2,-0.774,1,-1.170,1,-0.833,2,-0.636
35020117,Ontario,525,1,-1.028,1,-1.113,1,-0.886,1,-0.825
35020118,Ontario,515,1,-1.119,1,-1.521,1,-0.986,2,-0.542
35020119,Ontario,586,2,-0.762,2,-0.361,1,-0.880,2,-0.429
35020120,Ontario,622,1,-0.926,1,-0.944,1,-0.986,4,0.041
35020121,Ontario,830,2,-0.696,1,-1.635,1,-0.990,3,-0.317
35020122,Ontario,836,1,-0.975,1,-1.194,1,-1.028,2,-0.611
35020123,Ontario,498,4,0.347,5,1.086,2,-0.699,5,1.299
35020124,Ontario,605,2,-0.761,1,-0.869,1,-0.904,4,0.508
35020125,Ontario,434,3,-0.372,3,-0.007,1,-0.865,3,0.003
35020126,Ontario,495,1,-1.013,1,-1.019,1,-0.989,3,0.002
35020127,Ontario,480,1,-0.809,2,-0.683,1,-0.996,3,-0.128
35020128,Ontario,584,1,-0.868,2,-0.363,1,-0.989,3,-0.318
35020129,Ontario,617,1,-0.816,1,-0.856,1,-0.924,3,-0.256
35020130,Ontario,717,2,-0.635,1,-1.182,1,-0.900,2,-0.404
35020131,Ontario,479,4,0.746,5,0.916,1,-0.914,4,0.461
35020132,Ontario,584,4,0.195,2,-0.712,1,-0.981,3,-0.194
35020133,Ontario,702,1,-0.899,4,0.182,1,-0.891,1,-0.734
35020134,Ontario,487,5,0.907,3,-0.252,1,-0.792,5,0.646
35020135,Ontario,1185,2,-0.542,2,-0.709,1,-0.937,2,-0.561
35020136,Ontario,656,3,-0.454,3,-0.173,1,-0.932,4,0.511
35020137,Ontario,480,3,-0.505,1,-0.873,1,-0.993,3,-0.134
35020138,Ontario,536,2,-0.662,1,-1.004,1,-0.891,5,0.657
35020139,Ontario,561,1,-0.800,1,-2.207,1,-1.003,3,-0.092
35020140,Ontario,548,2,-0.659,1,-1.021,1,-0.988,3,-0.117
35020141,Ontario,1623,3,-0.346,1,-0.965,2,-0.748,2,-0.485
35020142,Ontario,2050,3,-0.330,1,-1.499,1,-0.962,2,-0.593
35020143,Ontario,571,1,-1.092,2,-0.757,1,-0.947,4,0.100
35020144,Ontario,785,1,-0.875,1,-1.044,1,-0.805,3,-0.347
35020145,Ontario,440,1,-1.173,1,-2.142,1,-1.101,1,-0.842
35020146,Ontario,831,3,-0.401,1,-0.889,1,-0.892,2,-0.546
35020147,Ontario,546,1,-0.859,1,-1.039,2,-0.706,2,-0.643
35020148,Ontario,486,5,1.170,2,-0.578,2,-0.740,4,0.492
35020150,Ontario,673,4,0.244,4,0.249,1,-0.929,2,-0.449
35020151,Ontario,762,4,-0.021,2,-0.686,1,-0.937,3,-0.142
35020152,Ontario,502,4,0.176,2,-0.355,2,-0.775,2,-0.486
35020153,Ontario,568,1,-1.000,1,-0.988,2,-0.715,1,-0.770
35020154,Ontario,569,1,-1.001,1,-1.042,2,-0.743,3,-0.091
35020155,Ontario,744,4,-0.105,4,0.118,2,-0.759,2,-0.570
35020156,Ontario,418,1,-0.810,1,-1.298,1,-0.822,1,-0.738
35020157,Ontario,641,3,-0.434,2,-0.498,2,-0.596,3,-0.093
35020158,Ontario,545,3,-0.203,2,-0.516,1,-0.937,2,-0.397
35020159,Ontario,466,1,-0.904,1,-1.433,1,-0.909,1,-0.865
35020160,Ontario,1134,2,-0.658,1,-1.102,1,-0.796,1,-1.039
35020161,Ontario,979,2,-0.721,1,-1.089,1,-0.912,1,-0.982
35020162,Ontario,594,1,-1.133,1,-1.515,1,-0.968,3,-0.065
35020163,Ontario,461,1,-0.922,2,-0.375,1,-0.985,5,0.690
35020164,Ontario,409,1,-0.822,4,0.626,2,-0.752,1,-0.777
35020165,Ontario,527,2,-0.720,1,-0.968,2,-0.679,3,-0.207
35020166,Ontario,606,1,-0.979,2,-0.610,1,-0.923,3,-0.031
35020167,Ontario,527,1,-0.938,1,-1.557,1,-1.022,3,-0.164
35020168,Ontario,724,1,-1.026,1,-1.013,1,-1.026,3,-0.100
35020169,Ontario,439,1,-0.802,4,0.140,1,-0.802,4,0.346
35020170,Ontario,579,4,0.242,3,0.022,1,-0.870,3,-0.280
35020171,Ontario,382,4,0.045,4,0.368,1,-1.116,3,-0.205
35020172,Ontario,507,3,-0.131,2,-0.524,1,-0.798,5,0.551
35020173,Ontario,524,2,-0.622,2,-0.504,1,-0.794,4,0.405
35020174,Ontario,492,3,-0.513,2,-0.554,2,-0.642,5,0.553
35020175,Ontario,673,2,-0.557,4,0.229,1,-0.892,4,0.101
35020176,Ontario,503,4,-0.060,4,0.537,2,-0.696,4,0.195
35020177,Ontario,333,4,0.691,4,0.208,1,-0.843,5,0.616
35020178,Ontario,422,4,0.484,5,3.056,1,-0.900,1,-0.832
35020179,Ontario,428,4,0.184,2,-0.727,1,-1.019,4,0.383
35020180,Ontario,571,2,-0.614,2,-0.444,1,-0.912,2,-0.486
35020181,Ontario,510,1,-0.877,4,0.567,1,-0.813,3,0.000
35020182,Ontario,608,2,-0.774,4,0.171,2,-0.756,3,-0.094
35020183,Ontario,644,5,1.985,5,2.969,2,-0.706,4,0.256
35020184,Ontario,428,5,1.908,5,2.333,1,-0.782,5,0.663
35020185,Ontario,629,5,0.826,4,0.331,3,-0.301,5,1.751
35020186,Ontario,626,5,1.144,5,1.810,1,-0.856,5,1.665
35020187,Ontario,480,5,1.863,5,1.552,3,-0.482,5,1.941
35020188,Ontario,554,3,-0.279,4,0.399,1,-0.919,4,0.505
35020189,Ontario,588,5,1.468,5,1.279,2,-0.615,5,2.036
35020190,Ontario,439,5,1.531,5,2.694,2,-0.634,5,1.363
35020191,Ontario,494,4,0.739,5,0.857,3,-0.456,5,0.961
35020192,Ontario,682,4,0.681,4,0.375,2,-0.666,5,0.798
35020193,Ontario,520,4,0.053,5,1.965,1,-0.872,4,0.084
35020194,Ontario,584,2,-0.727,5,1.171,2,-0.655,2,-0.388
35020195,Ontario,660,2,-0.549,3,-0.030,1,-0.795,4,0.045
35020196,Ontario,649,4,0.070,5,0.773,2,-0.654,3,-0.021
35020197,Ontario,489,2,-0.548,3,-0.110,1,-0.862,4,0.270
35020198,Ontario,832,2,-0.643,5,0.771,1,-0.841,3,-0.019
35020199,Ontario,503,2,-0.555,4,0.570,1,-0.822,3,-0.219
35020200,Ontario,505,2,-0.590,1,-0.845,1,-0.886,4,0.318
35020201,Ontario,417,2,-0.694,5,0.756,2,-0.718,4,0.289
35020202,Ontario,495,3,-0.450,3,-0.268,2,-0.765,4,0.281
35020203,Ontario,588,5,1.264,5,0.896,2,-0.735,5,1.664
35020204,Ontario,602,4,0.122,4,0.442,3,-0.520,5,0.995
35020205,Ontario,489,5,1.205,5,1.540,1,-0.799,4,0.226
35020206,Ontario,822,4,0.188,3,-0.025,2,-0.748,4,0.142
35020207,Ontario,1637,1,-0.892,1,-1.893,1,-1.056,1,-0.984
35020208,Ontario,895,1,-0.844,2,-0.477,2,-0.764,1,-0.841
35060001,Ontario,418,3,-0.415,2,-0.672,1,-0.807,3,-0.327
